sample,True R,True G,True B,Observed R,Observed G,Observed B,Red R,Red G,Red B,Green R,Green G,Green B,Blue R,Blue G,Blue B,camera
2003-6C_2_clahe_6,242,201,186,193,158,102,178,3,2,3,94,30,29,55,133,3
2001-4B_3_motion_blur_4,235,189,190,208,186,170,161,57,54,47,96,78,28,47,87,3
2003-6B_2_gamma_3,233,165,140,188,142,91,179,47,26,19,75,41,21,33,80,3
2003-6C_8,242,201,186,228,204,163,209,54,40,30,111,68,48,65,134,3
2001-4B_4_gamma_3,235,189,190,217,193,157,190,60,46,25,90,60,44,62,110,3
8002-12B_2_clahe_6,236,187,168,199,168,139,160,46,46,36,77,61,34,48,86,3
8002-12C_2_gamma_3,222,158,133,177,135,88,176,49,28,17,74,41,21,33,81,3
8002-12C_3_hue_2,222,158,133,222,115,83,211,4,20,23,115,22,44,80,136,3
2002-4B_4_motion_blur_4,239,184,184,217,185,146,182,54,39,22,87,57,48,67,110,3
2003-6C_8_hue_2,242,201,186,237,217,159,218,70,32,28,120,83,46,51,143,3
2001-4B_8_gaussian_blur_5,235,189,190,235,188,155,212,49,34,37,108,61,52,63,123,3
2003-6C_6_rotate_8,242,201,186,209,180,140,188,53,31,27,79,43,25,36,81,3
2003-6C_7_rotate_8,242,201,186,232,197,159,190,44,54,30,73,53,29,36,68,3
2001-6B_5_gaussian_blur_5,125,179,176,231,181,149,199,49,58,29,74,54,30,39,70,3
8002-9B_6_gaussian_blur_5,238,194,187,238,189,145,216,48,21,42,127,60,55,73,150,3
2002-6C_1_motion_blur_4,236,184,174,238,185,135,222,47,16,34,129,57,53,70,152,3
2001-6B_7_gamma_3,125,179,176,202,169,130,170,39,29,13,70,45,28,45,93,3
2002-4B_1_noise_7,239,184,184,238,186,150,214,61,31,42,140,67,65,83,159,3
2003-6C_1_gaussian_blur_5,242,201,186,240,204,147,221,46,15,31,128,57,51,69,153,3
2003-6B_3_noise_7,233,165,140,236,174,108,217,58,28,47,134,64,67,84,158,3
8002-12B_3_gaussian_blur_5,236,187,168,239,183,124,214,40,13,34,122,48,48,62,137,3
2001-4B_5_noise_7,235,189,190,238,188,161,204,53,60,34,77,57,33,40,70,3
2002-6C_3_clahe_6,236,184,174,169,137,114,134,28,35,29,66,53,35,49,85,3
2001-4B_7_gaussian_blur_5,235,189,190,226,173,147,168,32,41,37,70,51,28,32,59,3
8002-12C_3_noise_7,222,158,133,232,166,105,219,54,24,38,137,60,64,79,154,3
2001-6B_7,125,179,176,211,181,144,182,53,42,21,86,59,40,60,110,3
2002-4B_6_brightness_1,239,184,184,222,191,153,202,82,46,49,106,64,49,62,104,3
2003-6B_4_brightness_1,233,165,140,216,161,105,201,59,35,47,120,64,63,74,135,3
2002-4B_3_clahe_6,239,184,184,215,166,137,178,30,42,23,66,46,28,37,68,3
2002-6C_5_motion_blur_4,236,184,174,228,183,146,197,47,58,26,69,50,25,34,65,3
2002-4B_2_gaussian_blur_5,239,184,184,242,183,143,220,51,21,41,128,60,57,73,153,3
2003-6B_4_rotate_8,233,165,140,235,166,99,217,44,14,30,119,48,45,61,136,3
2003-6B_5_rotate_8,233,165,140,201,145,102,160,28,39,27,65,48,24,29,58,3
8002-9B_6_clahe_6,238,194,187,189,144,103,183,6,3,4,96,31,39,62,138,3
8002-12C_1_clahe_6,222,158,133,188,142,109,151,36,41,32,74,60,34,47,88,3
8002-12B_1_gamma_3,236,187,168,240,192,128,218,49,18,38,125,56,56,73,152,3
8002-9B_5_brightness_1,238,194,187,177,155,130,162,58,37,31,78,47,33,44,80,3
2003-6C_7,242,201,186,231,197,159,190,44,54,30,73,53,29,37,68,3
2003-6C_4_motion_blur_4,242,201,186,225,200,160,194,52,50,25,87,61,48,64,116,3
2002-6C_1_noise_7,236,184,174,238,186,138,224,51,21,36,136,60,56,74,156,3
2001-4B_7_clahe_6,235,189,190,212,161,134,147,4,27,32,66,47,33,37,64,3
2002-6C_7_gaussian_blur_5,236,184,174,197,168,130,187,59,30,26,83,45,26,40,87,3
2003-6B_1_clahe_6,233,165,140,205,141,84,178,6,10,8,78,34,46,58,110,3
2003-6C_1_gamma_3,242,201,186,239,200,142,217,40,12,27,122,51,46,62,147,3
8002-12C_4_motion_blur_4,222,158,133,236,167,98,226,52,21,44,134,60,62,78,159,3
8002-12B_3,236,187,168,239,183,124,214,40,13,35,122,48,48,62,137,3
8002-12B_4,236,187,168,214,172,132,164,31,43,34,72,56,20,27,56,3
8002-12C_7_brightness_1,222,158,133,250,194,137,229,62,58,27,102,71,52,72,137,3
2003-6C_2_noise_7,242,201,186,241,206,150,216,60,30,47,138,68,63,81,161,3
2001-4B_2_rotate_8,235,189,190,242,190,153,221,46,15,32,129,57,49,68,148,3
2002-6C_2_gamma_3,236,184,174,239,191,142,220,56,22,44,131,65,61,78,158,3
2001-4B_3_rotate_8,235,189,190,208,186,169,162,58,55,44,92,76,29,48,87,3
8002-12B_2_noise_7,236,187,168,217,186,157,172,59,58,54,97,80,34,48,90,3
8002-12C_8_noise_7,222,158,133,230,164,107,217,55,41,45,115,67,65,74,131,3
2002-6C_8_clahe_6,236,184,174,182,140,102,176,7,12,4,76,37,33,53,116,3
2001-6B_6_clahe_6,125,179,176,155,127,90,156,33,9,2,60,22,24,40,85,3
2003-6B_8_noise_7,233,165,140,220,170,121,194,55,52,27,92,66,53,69,123,3
8002-9B_8_brightness_1,238,194,187,253,221,174,229,49,24,20,118,63,46,69,147,3
8002-9B_1_motion_blur_4,238,194,187,223,197,164,189,54,48,25,89,62,44,62,114,3
2003-6B_7_gaussian_blur_5,233,165,140,230,170,120,204,53,61,30,71,53,30,37,66,3
2001-4B_6_gamma_3,235,189,190,206,177,139,188,61,27,27,86,42,27,41,86,3
2002-4B_8_clahe_6,239,184,184,198,143,112,179,4,13,6,78,33,45,57,117,3
2001-6B_4_gaussian_blur_5,125,179,176,208,177,149,161,52,45,41,86,65,27,42,78,3
8002-9B_5_motion_blur_4,238,194,187,201,175,143,182,57,31,25,81,44,25,39,83,3
2003-6C_1_rotate_8,242,201,186,240,204,148,220,46,15,28,126,54,52,71,152,3
8002-9B_7_gamma_3,238,194,187,233,187,151,197,47,56,38,78,54,37,42,72,3
8002-12C_5_gaussian_blur_5,222,158,133,190,132,94,162,25,37,25,64,46,16,21,51,3
2001-6B_4_noise_7,125,179,176,209,179,152,166,58,50,46,94,72,31,49,89,3
2002-4B_2_gamma_3,239,184,184,241,182,142,219,50,20,40,127,59,55,72,152,3
2003-6B_8_rotate_8,233,165,140,219,169,120,193,53,50,25,87,62,50,66,118,3
8002-9B_8_gaussian_blur_5,238,194,187,228,200,161,208,56,35,32,114,68,53,72,138,3
2001-4B_5_hue_2,235,189,190,225,189,157,192,55,52,28,60,47,25,29,56,3
8002-12C_1_noise_7,222,158,133,201,155,121,171,55,56,48,89,75,28,42,82,3
8002-12B_2_gaussian_blur_5,236,187,168,217,184,153,169,54,53,46,87,71,30,43,82,3
2003-6C_8_brightness_1,242,201,186,247,219,172,226,45,30,19,112,63,38,59,138,3
2002-6C_1_clahe_6,236,184,174,173,125,77,176,2,2,5,88,19,17,48,124,3
8002-12B_1_brightness_1,236,187,168,217,169,107,197,27,1,16,103,34,34,51,130,3
2001-4B_7_noise_7,235,189,190,227,176,151,172,38,47,43,79,59,33,38,70,3
2001-4B_6_gaussian_blur_5,235,189,190,207,177,140,188,60,27,26,85,41,26,41,84,3
2003-6B_1_noise_7,233,165,140,236,174,118,212,63,49,48,114,67,68,78,131,3
2001-6B_2_brightness_1,125,179,176,217,156,112,196,22,2,10,100,30,29,47,127,3
8002-12B_6_brightness_1,236,187,168,250,217,174,217,85,80,57,117,91,83,96,144,3
2001-6B_5_brightness_1,125,179,176,254,204,169,224,60,69,38,87,65,39,49,84,3
2003-6B_8_gaussian_blur_5,233,165,140,219,169,120,193,52,50,25,88,63,52,68,120,3
2001-4B_8_rotate_8,235,189,190,235,187,155,211,49,34,39,110,63,52,63,124,3
2001-6B_8_hue_2,125,179,176,237,191,160,215,61,51,44,111,68,62,73,129,3
8002-12B_5,236,187,168,203,170,129,183,53,29,25,79,43,23,34,79,3
8002-9B_7_gaussian_blur_5,238,194,187,232,184,146,194,43,52,34,72,49,33,38,68,3
8002-9B_6_noise_7,238,194,187,238,191,148,217,53,26,46,133,63,60,77,154,3
2001-6B_7_rotate_8,125,179,176,211,181,144,181,53,42,21,85,58,40,60,110,3
8002-12B_2,236,187,168,217,184,153,169,54,53,46,87,71,29,43,82,3
2001-6B_6_rotate_8,125,179,176,199,168,130,185,60,25,24,86,43,26,41,86,3
2002-4B_3_noise_7,239,184,184,231,182,153,193,48,54,31,78,56,31,42,75,3
2001-6B_5_gamma_3,125,179,176,229,175,143,196,42,52,24,65,47,26,33,62,3
2003-6B_3_rotate_8,233,165,140,236,169,99,220,50,20,43,129,61,55,71,150,3
2003-6B_2_rotate_8,233,165,140,190,149,99,186,56,32,24,85,48,26,40,89,3
2003-6B_4_motion_blur_4,233,165,140,235,167,100,217,44,14,28,118,48,47,62,136,3
2003-6C_3_gamma_3,242,201,186,209,182,155,150,34,37,28,66,53,15,25,62,3
2003-6B_3_clahe_6,233,165,140,202,139,71,198,19,5,10,105,37,37,59,136,3
2001-4B_5_clahe_6,235,189,190,202,155,129,177,15,39,24,63,45,32,39,67,3
2002-6C_3_noise_7,236,184,174,216,181,157,175,67,65,64,102,87,41,53,92,3
2002-6C_6_gaussian_blur_5,236,184,174,222,167,136,171,30,44,47,78,60,25,29,58,3
8002-12B_3_gamma_3,236,187,168,237,177,115,210,33,9,28,114,40,40,55,129,3
8002-12C_4_hue_2,222,158,133,242,109,76,231,1,35,45,140,32,45,101,164,3
2002-4B_3_gaussian_blur_5,239,184,184,231,181,150,191,44,51,27,70,50,27,36,67,3
2001-6B_2_motion_blur_4,125,179,176,240,181,139,219,50,20,39,126,57,57,74,152,3
2002-4B_4_gaussian_blur_5,239,184,184,217,185,146,181,54,39,22,87,57,48,67,110,3
2001-4B_6_noise_7,235,189,190,211,185,149,193,74,42,36,100,52,36,53,98,3
2003-6B_3_motion_blur_4,233,165,140,237,170,99,220,50,19,41,128,58,57,73,152,3
8002-12C_4_rotate_8,222,158,133,236,167,98,226,52,21,44,134,61,62,79,159,3
2002-6C_1_gaussian_blur_5,236,184,174,238,185,135,222,47,16,34,129,57,54,71,152,3
8002-12C_5_rotate_8,222,158,133,190,132,94,162,25,37,23,62,44,16,21,51,3
2001-6B_4_gamma_3,125,179,176,208,177,149,161,52,45,40,85,64,27,43,78,3
2003-6B_5,233,165,140,201,145,102,160,28,39,25,64,46,24,29,58,3
2002-4B_2_noise_7,239,184,184,242,184,144,222,53,25,42,132,62,59,76,155,3
8002-9B_6_rotate_8,238,194,187,238,189,145,216,48,21,42,127,59,56,73,150,3
8002-9B_7_rotate_8,238,194,187,232,184,146,195,43,52,34,72,49,33,38,68,3
8002-9B_7_noise_7,238,194,187,232,184,146,196,44,53,36,76,52,35,40,71,3
2003-6B_2,233,165,140,193,151,100,186,56,32,25,85,49,27,41,90,3
2002-4B_8_rotate_8,239,184,184,238,179,147,216,51,41,41,110,63,54,64,125,3
2001-6B_5_motion_blur_4,125,179,176,231,181,149,199,49,58,29,74,54,30,39,70,3
2003-6C_2_gamma_3,242,201,186,237,197,135,214,40,13,30,117,49,45,63,143,3
